temp,humi,gray,risk
22.02,50.52,0.029,0
21.82,57.33,0.356,1
18.61,49.19,0.189,1
23.89,50.79,0.301,1
23.78,30.02,0.039,2
23.02,59.16,0.0,0
22.3,53.46,0.323,1
18.75,59.98,0.256,1
21.74,21.04,0.065,2
21.97,70.88,0.07,2
20.59,48.6,0.369,1
22.52,61.08,0.022,1
24.21,39.6,0.446,1
28.66,56.13,0.065,2
23.52,39.47,0.296,1
23.77,43.76,0.151,0
22.78,69.14,0.29,2
17.24,48.09,0.118,2
22.92,52.17,0.176,0
23.18,58.7,0.206,0
30.39,54.96,0.05,2
22.42,51.5,0.311,1
23.9,53.65,0.123,0
22.9,74.03,0.166,2
19.49,49.42,0.051,1
26.43,52.01,0.0,1
25.26,60.51,0.171,1
25.37,61.06,0.562,2
20.27,61.87,0.318,1
27.21,56.39,0.197,1
18.79,38.57,0.161,1
24.76,66.33,0.203,2
29.57,38.54,0.282,2
20.03,53.03,0.023,0
21.3,42.46,0.367,1
23.3,49.36,0.307,1
21.49,53.29,0.308,1
18.35,53.21,0.266,1
23.21,54.22,0.203,0
19.81,66.14,0.301,2
24.42,54.54,0.289,0
20.24,47.56,0.147,0
27.65,59.64,0.114,1
20.65,61.89,0.215,1
22.03,37.72,0.432,1
25.44,55.97,0.014,0
19.31,57.01,0.0,1
23.68,47.02,0.225,0
26.92,63.76,0.208,1
18.18,48.5,0.226,1
23.55,51.26,0.237,0
23.78,48.27,0.167,0
25.35,50.16,0.423,1
19.29,39.04,0.0,1
19.04,35.6,0.076,1
24.57,65.95,0.185,2
23.89,41.53,0.0,0
23.75,40.09,0.174,0
24.04,28.47,0.449,2
20.96,43.61,0.203,0
23.7,36.77,0.235,1
23.88,66.42,0.011,2
20.86,60.1,0.108,1
28.6,43.12,0.144,2
24.42,72.52,0.152,2
19.43,59.82,0.392,1
24.97,46.75,0.284,0
20.08,25.01,0.033,2
25.36,72.91,0.237,2
26.48,36.1,0.275,1
20.54,33.55,0.371,2
25.89,60.23,0.437,1
24.24,74.4,0.048,2
25.47,63.84,0.078,1
28.69,55.64,0.011,2
22.26,55.95,0.165,0
20.74,58.53,0.27,0
20.33,57.59,0.348,1
20.55,52.81,0.189,0
22.77,51.04,0.152,0
24.02,49.37,0.223,0
23.83,42.46,0.075,0
25.48,47.19,0.513,2
23.04,33.07,0.0,2
27.36,49.02,0.228,1
22.21,40.11,0.504,2
31.16,38.96,0.201,2
24.88,51.8,0.171,0
20.43,63.92,0.146,1
19.79,59.18,0.173,1
24.45,34.29,0.406,2
22.33,40.1,0.0,0
25.14,59.41,0.43,1
24.42,40.18,0.0,0
22.78,47.75,0.16,0
20.46,55.5,0.136,0
18.46,40.32,0.288,1
21.66,51.05,0.0,0
25.57,36.66,0.269,1
23.64,43.99,0.504,2
19.26,53.2,0.0,1
23.52,34.07,0.228,2
24.16,54.4,0.101,0
20.35,49.8,0.264,0
23.46,55.52,0.203,0
23.17,52.24,0.104,0
19.57,63.64,0.273,1
24.07,51.25,0.471,1
24.68,45.71,0.171,0
26.25,51.22,0.308,1
26.16,55.43,0.006,1
18.87,50.49,0.057,1
20.19,50.41,0.271,0
24.55,42.98,0.423,1
24.54,43.37,0.253,0
24.55,35.97,0.153,1
34.56,67.5,0.2,2
24.71,37.56,0.012,1
26.41,43.07,0.291,1
25.86,42.82,0.332,1
24.95,58.95,0.132,0
22.05,47.05,0.129,0
25.28,62.48,0.24,1
20.68,43.27,0.134,0
22.29,52.79,0.19,0
21.54,41.65,0.515,2
23.25,71.45,0.163,2
29.94,38.12,0.146,2
17.4,53.1,0.103,2
25.06,56.34,0.312,1
18.16,54.14,0.173,1
21.58,48.15,0.103,0
26.27,48.7,0.398,1
23.19,50.44,0.413,1
19.77,48.53,0.11,1
20.85,59.64,0.0,0
25.04,72.11,0.351,2
20.81,44.43,0.097,0
23.65,36.3,0.319,1
23.14,49.12,0.0,0
21.05,75.8,0.334,2
29.43,41.96,0.018,2
24.9,66.39,0.31,2
16.92,66.78,0.202,2
23.56,44.46,0.057,0
21.01,55.69,0.139,0
25.56,66.28,0.303,2
20.62,46.21,0.216,0
22.66,47.96,0.288,0
24.51,44.18,0.496,1
25.6,39.85,0.0,1
19.4,43.51,0.443,1
22.0,37.76,0.216,1
21.58,50.34,0.065,0
21.04,42.3,0.0,0
28.3,52.34,0.172,2
24.21,34.44,0.338,2
19.22,53.31,0.181,1
25.75,58.34,0.427,1
29.37,30.06,0.0,2
26.1,53.74,0.198,1
18.44,62.28,0.012,1
21.55,37.9,0.255,1
26.8,66.73,0.333,2
20.88,54.19,0.137,0
24.33,42.95,0.0,0
25.32,49.44,0.23,0
20.22,55.58,0.266,0
22.82,50.76,0.261,0
13.28,55.39,0.385,2
19.93,40.79,0.039,1
22.24,51.69,0.302,1
19.26,35.86,0.379,1
27.9,48.89,0.0,1
18.71,40.96,0.248,1
21.68,42.64,0.124,0
23.39,62.36,0.188,1
27.32,60.91,0.252,1
18.69,56.09,0.127,1
26.49,39.08,0.099,1
23.03,46.84,0.205,0
20.06,62.13,0.037,1
24.39,51.42,0.037,0
23.6,73.19,0.302,2
21.2,53.93,0.028,0
23.21,51.92,0.3,0
21.84,46.91,0.269,0
23.34,51.34,0.0,0
24.99,48.48,0.098,0
27.76,57.08,0.379,1
19.29,59.57,0.053,1
29.4,42.14,0.13,2
17.14,36.69,0.269,2
22.54,31.64,0.318,2
24.76,55.08,0.162,0
23.84,38.97,0.11,1
21.13,28.47,0.413,2
22.38,53.89,0.461,1
21.52,74.93,0.347,2
21.23,49.94,0.213,0
25.55,58.38,0.079,0
24.07,50.82,0.075,0
20.92,49.01,0.278,0
25.7,59.19,0.263,0
23.92,47.1,0.41,1
25.44,52.67,0.298,0
24.89,53.22,0.0,0
20.51,43.32,0.358,1
21.32,59.92,0.05,0
25.24,48.25,0.142,0
24.83,42.44,0.238,0
22.94,55.37,0.499,1
23.35,41.02,0.666,2
26.83,50.28,0.291,1
21.23,49.91,0.173,0
24.64,60.86,0.28,1
22.39,54.75,0.333,1
22.35,49.75,0.152,0
26.3,58.18,0.469,1
25.48,63.9,0.235,1
25.44,55.58,0.275,0
26.92,50.1,0.3,1
23.06,36.88,0.263,1
25.05,39.35,0.326,1
22.07,46.95,0.107,0
23.97,43.9,0.116,0
22.61,48.13,0.035,0
23.29,50.57,0.266,0
24.79,55.3,0.317,1
20.55,49.3,0.269,0
29.28,54.87,0.451,2
19.98,50.64,0.199,1
19.36,30.25,0.3,2
26.47,40.61,0.036,1
25.37,48.56,0.142,0
24.87,37.9,0.304,1
24.89,56.0,0.327,1
22.96,65.31,0.156,2
20.31,62.19,0.189,1
23.23,47.87,0.0,0
20.97,64.91,0.146,1
25.93,51.49,0.334,1
22.56,46.63,0.286,0
20.52,43.87,0.275,0
22.04,46.98,0.207,0
24.24,46.12,0.201,0
21.31,51.7,0.101,0
20.53,51.61,0.305,1
23.73,50.03,0.263,0
23.73,54.37,0.274,0
21.48,61.91,0.121,1
21.59,59.5,0.0,0
23.7,35.15,0.365,1
18.66,24.46,0.128,2
18.78,59.34,0.071,1
20.84,36.33,0.304,1
22.36,47.75,0.141,0
23.93,38.3,0.359,1
27.43,31.98,0.293,2
25.57,55.41,0.303,1
22.52,57.59,0.0,0
22.94,44.23,0.382,1
19.99,24.09,0.239,2
22.94,44.54,0.145,0
22.13,53.92,0.222,0
23.97,35.21,0.0,1
20.52,51.83,0.261,0
24.56,49.85,0.046,0
27.6,55.79,0.0,1
22.67,51.2,0.0,0
24.21,40.27,0.367,1
25.07,61.97,0.106,1
21.8,48.41,0.43,1
23.67,49.73,0.12,0
23.04,40.67,0.0,0
23.29,45.57,0.033,0
20.68,41.15,0.385,1
23.07,48.27,0.177,0
24.49,67.12,0.118,2
27.35,36.28,0.224,1
25.88,33.86,0.275,2
29.46,64.71,0.368,2
20.7,47.91,0.417,1
25.62,43.31,0.146,0
23.55,60.4,0.001,1
29.57,43.94,0.138,2
20.58,68.26,0.239,2
20.48,56.78,0.055,0
21.2,45.12,0.056,0
16.63,71.57,0.252,2
21.42,43.94,0.193,0
20.72,57.42,0.205,0
23.45,52.99,0.086,0
24.03,63.02,0.165,1
28.63,65.62,0.061,2
25.85,50.32,0.334,1
21.27,42.47,0.355,1
20.3,54.6,0.0,0
24.48,43.22,0.061,0
19.04,70.13,0.0,2
28.49,51.37,0.102,2
26.54,46.35,0.187,1
21.59,51.85,0.0,0
17.86,36.53,0.062,2
27.06,40.28,0.049,1
22.66,62.0,0.231,1
26.71,43.43,0.21,1
18.22,39.53,0.092,1
21.2,55.37,0.227,0
23.02,61.86,0.118,1
23.14,57.19,0.159,0
21.65,59.96,0.451,1
24.87,42.43,0.401,1
19.8,35.78,0.005,1
22.57,65.01,0.324,2
23.36,46.77,0.322,1
24.54,47.49,0.028,0
25.13,63.28,0.323,1
19.63,55.56,0.431,1
18.4,54.56,0.032,1
26.83,71.65,0.062,2
24.0,43.56,0.353,1
20.75,59.28,0.241,0
27.65,50.57,0.283,1
23.35,52.69,0.251,0
26.54,65.28,0.259,2
23.2,55.08,0.001,0
29.18,55.38,0.357,2
28.27,60.73,0.375,2
22.25,46.35,0.166,0
25.91,41.61,0.193,0
24.94,39.55,0.0,1
27.11,30.34,0.277,2
20.11,70.56,0.286,2
25.06,38.97,0.191,1
26.18,47.79,0.369,1
17.72,47.23,0.15,2
19.45,53.07,0.285,1
16.88,58.16,0.047,2
22.19,58.6,0.196,0
25.15,44.17,0.174,0
27.51,48.33,0.234,1
23.22,52.83,0.145,0
27.89,47.51,0.18,1
18.86,66.07,0.324,2
17.89,54.91,0.134,2
22.83,57.35,0.0,0
24.15,56.63,0.462,1
22.9,61.73,0.407,1
16.8,51.81,0.006,2
22.73,37.03,0.303,1
19.09,54.0,0.125,1
25.01,43.49,0.24,0
24.1,44.71,0.244,0
20.18,55.86,0.165,0
21.46,62.38,0.082,1
19.82,50.21,0.096,1
22.81,53.09,0.063,0
25.87,67.02,0.075,2
20.04,52.41,0.19,0
24.51,76.02,0.093,2
21.41,55.66,0.302,1
20.62,32.39,0.423,2
22.68,57.53,0.113,0
19.89,53.81,0.236,1
21.34,62.9,0.275,1
19.41,56.73,0.271,1
28.89,48.62,0.211,2
23.11,37.76,0.311,1
20.9,47.91,0.272,0
23.64,41.49,0.014,0
22.66,44.19,0.33,1
22.34,55.89,0.333,1
24.84,66.7,0.086,2
25.27,53.95,0.206,0
21.41,38.04,0.302,1
21.27,54.45,0.169,0
22.17,61.97,0.361,1
16.09,43.9,0.555,2
18.45,48.66,0.082,1
27.1,50.15,0.0,1
27.93,42.15,0.246,1
22.25,56.48,0.308,1
24.73,48.79,0.165,0
23.93,54.2,0.418,1
32.24,41.13,0.0,2
26.36,45.63,0.304,1
22.62,57.22,0.109,0
20.13,46.27,0.458,1
18.18,67.27,0.499,2
23.61,46.0,0.085,0
20.73,52.25,0.118,0
18.73,59.33,0.329,1
21.06,35.82,0.142,1
19.76,32.39,0.193,2
28.06,34.74,0.204,2
25.64,62.63,0.0,1
22.98,44.48,0.198,0
27.44,75.58,0.097,2
23.23,44.36,0.126,0
20.42,51.85,0.417,1
27.57,65.42,0.012,2
24.62,70.06,0.322,2
19.89,70.62,0.158,2
22.43,62.08,0.158,1
20.37,60.24,0.319,1
18.85,55.93,0.251,1
25.78,57.78,0.286,0
28.73,44.49,0.345,2
18.8,41.82,0.15,1
24.69,49.97,0.108,0
21.05,48.3,0.037,0
21.54,45.47,0.076,0
21.22,56.96,0.642,2
20.41,59.55,0.387,1
23.15,50.88,0.0,0
20.51,64.78,0.002,1
23.81,38.58,0.272,1
22.85,48.06,0.282,0
22.28,42.83,0.282,0
20.28,31.33,0.162,2
21.27,49.17,0.181,0
25.27,48.78,0.249,0
24.5,65.13,0.213,2
20.07,56.31,0.0,0
23.3,39.76,0.166,1
25.25,68.54,0.072,2
17.99,62.21,0.226,2
24.63,55.82,0.648,2
21.01,47.74,0.255,0
24.71,40.41,0.153,0
20.71,46.28,0.338,1
17.59,60.89,0.272,2
18.12,68.85,0.263,2
23.14,65.43,0.291,2
23.78,45.11,0.508,2
20.29,38.8,0.03,1
24.92,51.41,0.271,0
18.02,32.32,0.061,2
22.8,53.23,0.283,0
19.37,48.52,0.062,1
21.04,45.34,0.137,0
23.14,34.05,0.156,2
20.42,55.14,0.346,1
21.85,44.67,0.338,1
26.02,38.3,0.013,1
21.27,21.28,0.208,2
25.51,49.72,0.094,0
19.61,67.72,0.011,2
24.59,66.61,0.167,2
27.32,45.43,0.154,1
15.59,43.98,0.564,2
20.61,54.69,0.265,0
24.73,40.02,0.0,0
22.39,53.02,0.115,0
24.11,57.66,0.353,1
21.19,62.27,0.513,2
23.26,49.0,0.0,0
22.53,47.96,0.0,0
26.5,41.22,0.481,1
23.76,41.73,0.258,0
24.01,47.74,0.07,0
21.76,53.67,0.28,0
21.54,59.14,0.0,0
21.7,41.97,0.201,0
24.18,64.93,0.249,1
21.74,47.29,0.339,1
23.87,49.79,0.048,0
29.23,42.53,0.213,2
25.61,25.76,0.061,2
22.02,58.84,0.238,0
26.6,57.37,0.066,1
21.78,47.19,0.139,0
16.89,50.67,0.051,2
19.98,55.16,0.298,1
17.39,34.37,0.329,2
21.95,44.71,0.165,0
23.06,57.94,0.206,0
28.03,37.46,0.0,2
23.98,52.94,0.155,0
22.34,36.43,0.192,1
25.49,54.66,0.593,2
16.37,49.64,0.033,2
23.71,33.85,0.42,2
25.31,61.65,0.35,1
18.56,42.65,0.242,1
26.43,41.9,0.464,1
24.02,52.01,0.256,0
21.75,61.49,0.258,1
24.9,39.84,0.192,1
29.81,50.62,0.384,2
23.55,54.29,0.364,1
23.74,56.93,0.106,0
21.62,51.76,0.002,0
20.45,46.33,0.17,0
25.49,41.72,0.08,0
20.43,50.86,0.19,0
23.21,39.28,0.386,1
21.57,20.79,0.131,2
24.44,54.37,0.194,0
24.0,59.04,0.209,0
26.11,26.37,0.327,2
21.47,39.9,0.0,1
22.19,56.19,0.109,0
20.06,70.57,0.232,2
21.67,50.21,0.38,1
24.13,42.72,0.126,0
25.27,48.17,0.0,0
20.23,63.75,0.293,1
25.61,43.54,0.105,0
27.07,42.01,0.022,1
24.24,45.17,0.106,0
28.63,40.47,0.172,2
20.68,51.23,0.109,0
19.27,66.25,0.0,2
17.66,53.23,0.335,2
27.49,47.48,0.391,1
24.96,47.08,0.298,0
22.83,34.37,0.029,2
23.84,58.83,0.17,0
19.62,49.22,0.199,1
30.34,48.2,0.29,2
23.39,81.93,0.3,2
23.33,52.99,0.09,0
25.18,42.48,0.212,0
24.44,45.74,0.269,0
23.67,61.48,0.418,1
20.63,51.13,0.306,1
24.41,35.62,0.318,1
28.65,59.19,0.213,2
27.04,43.32,0.412,1
27.78,68.73,0.261,2
21.47,60.8,0.071,1
20.03,45.53,0.411,1
22.62,62.81,0.305,1
23.17,50.68,0.134,0
26.28,58.53,0.128,1
17.92,54.85,0.244,2
27.59,41.54,0.269,1
22.53,43.56,0.23,0
21.72,60.3,0.247,1
19.96,46.65,0.455,1
18.04,45.96,0.361,1
25.47,40.45,0.229,0
23.22,54.24,0.341,1
19.13,70.63,0.045,2
19.11,39.32,0.26,1
21.99,50.24,0.471,1
28.01,64.12,0.167,2
22.22,49.2,0.073,0
18.49,54.52,0.102,1
22.26,39.38,0.037,1
22.18,54.28,0.082,0
14.91,48.13,0.144,2
22.84,59.86,0.0,0
22.31,61.87,0.202,1
25.09,75.9,0.335,2
28.55,55.8,0.064,2
26.38,53.26,0.428,1
22.19,51.94,0.277,0
19.68,46.47,0.355,1
30.72,53.38,0.101,2
23.18,47.05,0.328,1
23.04,51.68,0.036,0
22.93,63.18,0.334,1
23.59,39.93,0.226,1
22.57,61.4,0.283,1
21.28,63.17,0.024,1
21.36,48.82,0.066,0
22.9,28.78,0.29,2
21.37,43.92,0.058,0
20.86,62.97,0.269,1
23.32,49.77,0.0,0
22.24,40.01,0.327,1
27.51,44.95,0.015,1
15.05,58.41,0.283,2
26.27,55.47,0.294,1
26.74,47.61,0.095,1
16.78,46.33,0.287,2
21.97,46.08,0.239,0
21.89,40.78,0.119,0
18.78,66.15,0.049,2
20.67,46.78,0.0,0
19.67,62.17,0.252,1
28.26,65.21,0.0,2
25.81,59.98,0.214,0
26.81,45.68,0.16,1
25.17,54.04,0.302,1
19.61,49.76,0.155,1
21.43,40.96,0.151,0
24.47,53.24,0.31,1
19.33,38.21,0.25,1
25.14,61.88,0.247,1
22.28,45.35,0.27,0
21.88,52.01,0.0,0
25.13,52.83,0.314,1
24.33,47.41,0.292,0
21.92,55.87,0.047,0
26.48,45.25,0.163,1
19.76,58.71,0.194,1
24.85,36.54,0.18,1
24.78,51.26,0.25,0
22.07,69.39,0.415,2
23.98,40.0,0.362,1
19.25,43.22,0.003,1
25.77,55.14,0.293,0
22.45,51.8,0.399,1
21.43,53.51,0.258,0
26.15,54.89,0.364,1
20.89,56.35,0.502,2
18.77,61.1,0.354,1
18.33,54.1,0.237,1
24.82,47.59,0.357,1
19.16,56.73,0.222,1
28.26,69.0,0.204,2
16.75,48.67,0.147,2
28.09,40.25,0.435,2
23.63,61.07,0.077,1
22.71,48.8,0.43,1
21.37,28.27,0.275,2
24.2,58.47,0.0,0
22.89,44.65,0.255,0
26.31,49.09,0.0,1
23.34,53.32,0.294,0
23.45,51.9,0.333,1
21.91,57.09,0.111,0
22.83,45.65,0.219,0
23.92,55.13,0.493,1
17.87,47.4,0.124,2
18.96,57.39,0.041,1
25.23,56.15,0.422,1
23.51,40.65,0.494,1
22.45,60.86,0.201,1
23.06,44.64,0.352,1
24.04,58.08,0.401,1
21.38,53.67,0.089,0
20.67,68.38,0.127,2
23.59,47.77,0.385,1
20.06,46.51,0.453,1
24.22,49.81,0.284,0
17.89,46.97,0.068,2
26.09,58.0,0.498,1
24.42,33.84,0.12,2
23.77,39.46,0.15,1
25.95,39.32,0.251,1
28.0,59.5,0.433,1
26.04,67.11,0.328,2
17.48,48.96,0.262,2
19.16,48.31,0.269,1
21.13,50.7,0.207,0
23.08,61.62,0.284,1
24.55,40.73,0.0,0
20.82,52.38,0.156,0
23.56,59.75,0.236,0
20.73,55.01,0.027,0
21.17,51.9,0.258,0
18.78,60.01,0.169,1
20.23,22.97,0.463,2
18.94,56.78,0.436,1
20.07,43.46,0.13,0
26.16,31.69,0.177,2
20.15,55.11,0.189,0
30.9,63.74,0.132,2
24.48,48.63,0.229,0
23.55,59.53,0.086,0
20.42,66.12,0.03,2
25.1,63.15,0.293,1
21.27,66.4,0.294,2
23.37,57.42,0.079,0
30.68,50.75,0.334,2
22.71,33.98,0.105,2
26.45,47.54,0.238,1
20.89,41.57,0.323,1
22.9,71.71,0.195,2
28.31,48.24,0.268,2
21.12,51.23,0.123,0
28.44,55.51,0.171,2
25.12,50.44,0.169,0
21.31,66.95,0.088,2
24.9,43.77,0.173,0
25.92,51.95,0.0,0
24.87,42.58,0.126,0
18.29,36.8,0.157,1
20.82,43.88,0.162,0
22.26,49.63,0.164,0
22.78,45.71,0.191,0
24.86,43.08,0.272,0
23.53,35.94,0.331,1
18.99,49.17,0.103,1
24.14,34.95,0.02,2
24.83,57.6,0.044,0
24.68,50.82,0.127,0
26.24,35.42,0.147,1
25.5,46.91,0.085,0
24.38,42.48,0.006,0
22.79,53.19,0.132,0
18.02,63.4,0.227,1
24.29,31.25,0.289,2
23.62,51.15,0.116,0
23.81,48.4,0.138,0
19.17,56.71,0.061,1
19.76,52.13,0.195,1
26.16,42.48,0.073,1
22.88,46.81,0.286,0
25.04,42.04,0.0,0
23.08,60.76,0.146,1
23.09,50.21,0.245,0
25.81,69.01,0.228,2
21.45,49.39,0.604,2
23.29,42.92,0.252,0
21.61,34.86,0.049,2
21.7,31.97,0.186,2
22.07,34.16,0.0,2
23.67,52.67,0.188,0
21.56,55.09,0.075,0
26.77,34.19,0.337,2
20.32,58.95,0.118,0
22.44,45.17,0.182,0
21.68,51.47,0.105,0
27.34,66.12,0.461,2
23.59,58.97,0.152,0
26.1,47.31,0.475,1
18.54,41.09,0.322,1
23.8,28.48,0.272,2
25.67,42.81,0.255,0
23.25,47.89,0.259,0
26.2,40.13,0.0,1
21.45,48.69,0.158,0
27.23,50.77,0.327,1
29.9,47.75,0.193,2
21.91,43.5,0.0,0
21.66,51.69,0.192,0
27.36,54.42,0.456,1
27.74,39.1,0.387,1
21.43,64.11,0.191,1
21.74,49.01,0.343,1
22.15,50.19,0.145,0
18.97,57.08,0.0,1
20.24,52.33,0.061,0
19.99,59.53,0.434,1
20.7,52.87,0.159,0
22.9,43.88,0.163,0
23.7,53.62,0.155,0
27.65,38.56,0.486,1
20.0,51.09,0.444,1
25.95,49.67,0.533,2
22.36,47.92,0.176,0
22.85,48.71,0.244,0
25.02,31.18,0.0,2
19.63,44.51,0.422,1
24.15,50.93,0.025,0
23.5,51.6,0.233,0
24.48,39.72,0.035,1
23.87,62.66,0.112,1
30.37,41.34,0.074,2
21.09,59.69,0.109,0
21.41,54.27,0.119,0
21.13,43.54,0.118,0
21.33,67.75,0.325,2
21.09,38.06,0.034,1
26.57,59.19,0.233,1
27.26,60.01,0.383,1
21.29,43.29,0.123,0
20.5,63.92,0.092,1
24.41,47.5,0.165,0
21.34,52.89,0.377,1
24.9,52.6,0.229,0
23.61,48.66,0.12,0
18.45,58.11,0.273,1
27.64,57.93,0.035,1
28.39,32.51,0.302,2
21.16,63.04,0.261,1
21.84,33.38,0.154,2
23.86,60.33,0.074,1
24.0,61.27,0.067,1
24.98,39.09,0.28,1
29.03,45.89,0.384,2
22.47,38.94,0.104,1
20.61,47.85,0.269,0
18.86,46.92,0.0,1
20.81,57.8,0.112,0
22.9,63.1,0.195,1
28.38,63.96,0.064,2
21.45,44.38,0.06,0
23.67,47.91,0.1,0
22.95,33.17,0.244,2
26.57,41.94,0.172,1
30.58,59.65,0.0,2
21.41,66.16,0.0,2
21.53,37.66,0.109,1
26.13,44.08,0.269,1
25.05,49.74,0.0,0
28.54,52.8,0.125,2
24.75,41.9,0.121,0
21.92,54.24,0.408,1
24.77,45.26,0.142,0
26.33,49.86,0.257,1
25.46,55.46,0.221,0
24.52,50.06,0.0,0
26.2,45.64,0.315,1
26.51,48.9,0.232,1
27.15,49.12,0.276,1
24.95,46.3,0.789,2
22.5,47.41,0.0,0
23.44,65.99,0.459,2
26.62,55.61,0.157,1
20.55,47.05,0.243,0
24.11,56.97,0.193,0
21.82,46.66,0.136,0
23.09,61.73,0.115,1
26.84,53.7,0.249,1
23.57,48.93,0.0,0
23.14,54.48,0.313,1
18.92,34.29,0.138,2
25.24,38.73,0.03,1
24.94,38.06,0.132,1
29.49,51.43,0.389,2
22.08,67.33,0.12,2
23.66,72.31,0.254,2
23.75,56.38,0.09,0
27.73,55.01,0.314,1
22.71,31.99,0.303,2
23.84,44.57,0.477,1
24.82,42.12,0.174,0
23.56,43.79,0.3,1
21.66,48.32,0.215,0
23.58,45.28,0.394,1
26.22,30.21,0.092,2
19.92,57.48,0.312,1
23.4,39.27,0.171,1
20.9,52.39,0.19,0
26.59,70.74,0.214,2
18.43,40.81,0.238,1
21.32,24.7,0.183,2
24.13,47.14,0.232,0
27.7,61.01,0.437,1
22.8,69.58,0.348,2
21.33,37.7,0.33,1
28.64,54.97,0.132,2
18.66,45.35,0.067,1
16.4,48.94,0.343,2
24.32,76.44,0.331,2
21.49,34.97,0.421,2
19.94,52.54,0.109,1
25.13,54.68,0.166,0
23.73,60.86,0.0,1
21.31,50.98,0.141,0
19.16,53.08,0.349,1
25.62,46.08,0.13,0
24.95,52.69,0.296,0
22.7,46.57,0.171,0
28.54,56.22,0.249,2
19.79,46.3,0.028,1
18.42,53.77,0.213,1
20.92,49.71,0.0,0
22.86,61.26,0.172,1
23.73,49.49,0.0,0
22.28,32.27,0.381,2
24.06,62.62,0.317,1
19.25,40.94,0.27,1
27.33,43.46,0.428,1
22.75,44.04,0.058,0
26.35,63.74,0.462,1
24.03,28.64,0.34,2
24.37,81.38,0.165,2
24.71,60.56,0.37,1
24.34,52.23,0.034,0
24.93,49.45,0.076,0
26.99,52.86,0.109,1
23.59,55.21,0.121,0
25.13,56.45,0.042,0
22.73,55.56,0.383,1
27.32,50.9,0.161,1
20.97,48.03,0.253,0
28.4,48.49,0.114,2
22.88,48.05,0.0,0
18.71,61.34,0.241,1
23.38,55.94,0.0,0
20.96,20.6,0.19,2
25.52,56.56,0.0,0
21.04,51.95,0.498,1
21.66,49.81,0.337,1
17.33,46.11,0.216,2
21.64,61.24,0.39,1
15.73,59.48,0.073,2
18.25,42.27,0.282,1
25.28,54.07,0.23,0
25.36,40.28,0.24,0
24.28,36.2,0.391,1
20.1,43.73,0.31,1
22.86,58.62,0.243,0
22.99,59.53,0.0,0
19.52,55.13,0.056,1
27.51,57.25,0.182,1
25.63,55.16,0.214,0
22.34,43.59,0.03,0
23.08,54.32,0.562,2
23.63,58.0,0.427,1
16.87,57.54,0.29,2
22.26,61.89,0.211,1
20.95,57.08,0.168,0
20.0,53.51,0.057,1
22.16,60.7,0.212,1
28.39,49.73,0.239,2
24.92,41.18,0.014,0
